Signal Legend:

Key        Signal Name

0        = HSMC_ADC_DB[13..0]
1        = HSMC_ADC_OTR_B
2        = HSMC_ADC_OTR_A

Data Table:

Signals-> 0     1 2 

sample

-14336    6109  0 0 
-14335    5846  0 0 
-14334    5846  0 0 
-14333    5846  0 0 
-14332    6111  0 0 
-14331    5593  0 0 
-14330    5593  0 0 
-14329    5593  0 0 
-14328    5593  0 0 
-14327    5339  0 0 
-14326    5339  0 0 
-14325    5339  0 0 
-14324    6139  0 0 
-14323    5089  0 0 
-14322    5089  0 0 
-14321    5089  0 0 
-14320    5093  0 0 
-14319    4839  0 0 
-14318    4839  0 0 
-14317    4839  0 0 
-14316    5103  0 0 
-14315    4584  0 0 
-14314    4584  0 0 
-14313    4584  0 0 
-14312    14332 0 0 
-14311    10196 0 0 
-14310    10196 0 0 
-14309    10196 0 0 
-14308    10181 0 0 
-14307    10055 0 0 
-14306    10055 0 0 
-14305    10055 0 0 
-14304    10175 0 0 
-14303    9661  0 0 
-14302    9661  0 0 
-14301    9661  0 0 
-14300    9661  0 0 
-14299    9256  0 0 
-14298    9256  0 0 
-14297    9256  0 0 
-14296    9897  0 0 
-14295    8865  0 0 
-14294    8865  0 0 
-14293    8865  0 0 
-14292    9133  0 0 
-14291    8493  0 0 
-14290    8493  0 0 
-14289    8493  0 0 
-14288    7503  0 0 
-14287    8130  0 0 
-14286    8130  0 0 
-14285    8130  0 0 
-14284    8162  0 0 
-14283    7776  0 0 
-14282    7776  0 0 
-14281    7776  0 0 
-14280    7940  0 0 
-14279    7428  0 0 
-14278    7428  0 0 
-14277    7428  0 0 
-14276    7984  0 0 
-14275    7090  0 0 
-14274    7090  0 0 
-14273    7090  0 0 
-14272    7155  0 0 
-14271    6755  0 0 
-14270    6755  0 0 
-14269    6755  0 0 
-14268    6975  0 0 
-14267    6430  0 0 
-14266    6430  0 0 
-14265    6430  0 0 
-14264    8031  0 0 
-14263    6105  0 0 
-14262    6105  0 0 
-14261    6105  0 0 
-14260    6041  0 0 
-14259    5785  0 0 
-14258    5785  0 0 
-14257    5785  0 0 
-14256    6105  0 0 
-14255    5465  0 0 
-14254    5465  0 0 
-14253    5465  0 0 
-14252    5433  0 0 
-14251    5152  0 0 
-14250    5152  0 0 
-14249    5152  0 0 
-14248    5740  0 0 
-14247    4844  0 0 
-14246    4844  0 0 
-14245    4844  0 0 
-14244    15037 0 0 
-14243    10389 0 0 
-14242    10389 0 0 
-14241    10389 0 0 
-14240    12247 0 0 
-14239    10194 0 0 
-14238    10194 0 0 
-14237    10194 0 0 
-14236    10135 0 0 
-14235    9749  0 0 
-14234    9749  0 0 
-14233    9749  0 0 
-14232    9821  0 0 
-14231    9290  0 0 
-14230    9290  0 0 
-14229    9290  0 0 
-14228    9870  0 0 
-14227    8846  0 0 
-14226    8846  0 0 
-14225    8846  0 0 
-14224    8930  0 0 
-14223    8418  0 0 
-14222    8418  0 0 
-14221    8418  0 0 
-14220    8134  0 0 
-14219    8006  0 0 
-14218    8006  0 0 
-14217    8006  0 0 
-14216    8118  0 0 
-14215    7602  0 0 
-14214    7602  0 0 
-14213    7602  0 0 
-14212    7615  0 0 
-14211    7213  0 0 
-14210    7213  0 0 
-14209    7213  0 0 
-14208    7865  0 0 
-14207    6832  0 0 
-14206    6832  0 0 
-14205    6832  0 0 
-14204    7092  0 0 
-14203    6454  0 0 
-14202    6454  0 0 
-14201    6454  0 0 
-14200    8134  0 0 
-14199    6082  0 0 
-14198    6082  0 0 
-14197    6082  0 0 
-14196    6102  0 0 
-14195    5716  0 0 
-14194    5716  0 0 
-14193    5716  0 0 
-14192    5884  0 0 
-14191    5358  0 0 
-14190    5358  0 0 
-14189    5358  0 0 
-14188    6030  0 0 
-14187    5004  0 0 
-14186    5004  0 0 
-14185    5004  0 0 
-14184    15245 0 0 
-14183    10507 0 0 
-14182    10507 0 0 
-14181    10507 0 0 
-14180    10539 0 0 
-14179    10275 0 0 
-14178    10275 0 0 
-14177    10275 0 0 
-14176    11831 0 0 
-14175    9783  0 0 
-14174    9783  0 0 
-14173    9783  0 0 
-14172    9823  0 0 
-14171    9288  0 0 
-14170    9288  0 0 
-14169    9288  0 0 
-14168    9836  0 0 
-14167    8806  0 0 
-14166    8806  0 0 
-14165    8806  0 0 
-14164    8887  0 0 
-14163    8343  0 0 
-14162    8343  0 0 
-14161    8343  0 0 
-14160    7903  0 0 
-14159    7898  0 0 
-14158    7898  0 0 
-14157    7898  0 0 
-14156    8127  0 0 
-14155    7461  0 0 
-14154    7461  0 0 
-14153    7461  0 0 
-14152    8069  0 0 
-14151    7043  0 0 
-14150    7043  0 0 
-14149    7043  0 0 
-14148    7142  0 0 
-14147    6628  0 0 
-14146    6628  0 0 
-14145    6628  0 0 
-14144    6604  0 0 
-14143    6222  0 0 
-14142    6222  0 0 
-14141    6222  0 0 
-14140    7742  0 0 
-14139    5822  0 0 
-14138    5822  0 0 
-14137    5822  0 0 
-14136    6075  0 0 
-14135    5427  0 0 
-14134    5427  0 0 
-14133    5427  0 0 
-14132    6079  0 0 
-14131    5038  0 0 
-14130    5038  0 0 
-14129    5038  0 0 
-14128    15295 0 0 
-14127    10515 0 0 
-14126    10515 0 0 
-14125    10515 0 0 
-14124    10515 0 0 
-14123    10256 0 0 
-14122    10256 0 0 
-14121    10256 0 0 
-14120    11800 0 0 
-14119    9738  0 0 
-14118    9738  0 0 
-14117    9738  0 0 
-14116    10110 0 0 
-14115    9214  0 0 
-14114    9214  0 0 
-14113    9214  0 0 
-14112    9118  0 0 
-14111    8712  0 0 
-14110    8712  0 0 
-14109    8712  0 0 
-14108    8737  0 0 
-14107    8227  0 0 
-14106    8227  0 0 
-14105    8227  0 0 
-14104    7247  0 0 
-14103    7758  0 0 
-14102    7758  0 0 
-14101    7758  0 0 
-14100    7818  0 0 
-14099    7298  0 0 
-14098    7298  0 0 
-14097    7298  0 0 
-14096    7882  0 0 
-14095    6858  0 0 
-14094    6858  0 0 
-14093    6858  0 0 
-14092    7071  0 0 
-14091    6423  0 0 
-14090    6423  0 0 
-14089    6423  0 0 
-14088    8063  0 0 
-14087    5999  0 0 
-14086    5999  0 0 
-14085    5999  0 0 
-14084    6095  0 0 
-14083    5582  0 0 
-14082    5582  0 0 
-14081    5582  0 0 
-14080    5567  0 0 
-14079    5171  0 0 
-14078    5171  0 0 
-14077    5171  0 0 
-14076    15763 0 0 
-14075    10627 0 0 
-14074    10627 0 0 
-14073    10627 0 0 
-14072    10727 0 0 
-14071    10342 0 0 
-14070    10342 0 0 
-14069    10342 0 0 
-14068    11854 0 0 
-14067    9806  0 0 
-14066    9806  0 0 
-14065    9806  0 0 
-14064    9787  0 0 
-14063    9267  0 0 
-14062    9267  0 0 
-14061    9267  0 0 
-14060    9787  0 0 
-14059    8746  0 0 
-14058    8746  0 0 
-14057    8746  0 0 
-14056    8763  0 0 
-14055    8243  0 0 
-14054    8243  0 0 
-14053    8243  0 0 
-14052    7251  0 0 
-14051    7760  0 0 
-14050    7760  0 0 
-14049    7760  0 0 
-14048    7800  0 0 
-14047    7288  0 0 
-14046    7288  0 0 
-14045    7288  0 0 
-14044    7868  0 0 
-14043    6830  0 0 
-14042    6830  0 0 
-14041    6830  0 0 
-14040    6898  0 0 
-14039    6386  0 0 
-14038    6386  0 0 
-14037    6386  0 0 
-14036    8122  0 0 
-14035    5946  0 0 
-14034    5946  0 0 
-14033    5946  0 0 
-14032    6047  0 0 
-14031    5519  0 0 
-14030    5519  0 0 
-14029    5519  0 0 
-14028    6126  0 0 
-14027    5100  0 0 
-14026    5100  0 0 
-14025    5100  0 0 
-14024    15276 0 0 
-14023    10542 0 0 
-14022    10542 0 0 
-14021    10542 0 0 
-14020    10511 0 0 
-14019    10247 0 0 
-14018    10247 0 0 
-14017    10247 0 0 
-14016    11623 0 0 
-14015    9701  0 0 
-14014    9701  0 0 
-14013    9701  0 0 
-14012    10181 0 0 
-14011    9158  0 0 
-14010    9158  0 0 
-14009    9158  0 0 
-14008    9142  0 0 
-14007    8628  0 0 
-14006    8628  0 0 
-14005    8628  0 0 
-14004    7612  0 0 
-14003    8122  0 0 
-14002    8122  0 0 
-14001    8122  0 0 
-14000    8154  0 0 
-13999    7634  0 0 
-13998    7634  0 0 
-13997    7634  0 0 
-13996    8179  0 0 
-13995    7155  0 0 
-13994    7155  0 0 
-13993    7155  0 0 
-13992    7095  0 0 
-13991    6694  0 0 
-13990    6694  0 0 
-13989    6694  0 0 
-13988    6755  0 0 
-13987    6243  0 0 
-13986    6243  0 0 
-13985    6243  0 0 
-13984    7859  0 0 
-13983    5810  0 0 
-13982    5810  0 0 
-13981    5810  0 0 
-13980    6035  0 0 
-13979    5377  0 0 
-13978    5377  0 0 
-13977    5377  0 0 
-13976    16193 0 0 
-13975    10818 0 0 
-13974    10818 0 0 
-13973    10818 0 0 
-13972    11022 0 0 
-13971    10510 0 0 
-13970    10510 0 0 
-13969    10510 0 0 
-13968    12143 0 0 
-13967    9957  0 0 
-13966    9957  0 0 
-13965    9957  0 0 
-13964    9917  0 0 
-13963    9402  0 0 
-13962    9402  0 0 
-13961    9402  0 0 
-13960    9918  0 0 
-13959    8870  0 0 
-13958    8870  0 0 
-13957    8870  0 0 
-13956    8878  0 0 
-13955    8360  0 0 
-13954    8360  0 0 
-13953    8360  0 0 
-13952    7353  0 0 
-13951    7867  0 0 
-13950    7867  0 0 
-13949    7867  0 0 
